#"INDEX","LOCATION","STATE","SEVERITY","NAME","DATE/TIME","USER","NOTES"
"480","Slot 3","None","Informational","GE3 port protection","Wed 20-May-2015  21:22:36.3 (GMT-06:00)","SYS","attempted to switch  but blocked
"
"481","NCC","None","Informational","Protection switch","Wed 20-May-2015  21:22:37.4 (GMT-06:00)","SYS","Ethernet output switched on because partner radio ethernet off"
"482","Slot 1","Raising","Major","Demodulator not locked","Thu 21-May-2015  14:40:23.7 (GMT-06:00)","SYS",""
"483","Slot 1","Raising","Critical","Traffic path down","Thu 21-May-2015  14:40:24.1 (GMT-06:00)","SYS",""
"484","Slot 1","Raising","Warning","10-3 BER threshold exceeded","Thu 21-May-2015  14:40:24.1 (GMT-06:00)","SYS",""
"485","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Thu 21-May-2015  14:40:24.1 (GMT-06:00)","SYS",""
"486","Slot 1","Clearing","Cleared","Demodulator not locked","Thu 21-May-2015  14:40:24.2 (GMT-06:00)","SYS",""
"487","NCC","None","Informational","Event Action created","Thu 21-May-2015  14:40:24.2 (GMT-06:00)","SYS","Relay Output 1 Action request sent to 127.0.0.1, Slot1"
"488","NCC","None","Informational","Event Action accepted","Thu 21-May-2015  14:40:24.2 (GMT-06:00)","SYS","Relay Output 1 Action request received from 127.0.0.1."
"489","Slot 1","Clearing","Cleared","Traffic path down","Thu 21-May-2015  14:40:26.1 (GMT-06:00)","SYS",""
"490","Slot 1","Clearing","Cleared","10-3 BER threshold exceeded","Thu 21-May-2015  14:40:26.1 (GMT-06:00)","SYS",""
"491","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Thu 21-May-2015  14:40:34.1 (GMT-06:00)","SYS",""
"492","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Sat 23-May-2015  06:34:05.1 (GMT-06:00)","SYS",""
"493","Slot 1","Raising","Warning","ESR threshold exceeded","Sat 23-May-2015  06:34:21.1 (GMT-06:00)","SYS",""
"494","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Sat 23-May-2015  06:34:36.1 (GMT-06:00)","SYS",""
"495","Slot 1","Clearing","Cleared","ESR threshold exceeded","Sat 23-May-2015  06:35:21.1 (GMT-06:00)","SYS",""
"496","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Sat 23-May-2015  22:36:18.1 (GMT-06:00)","SYS",""
"497","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Sat 23-May-2015  22:36:27.1 (GMT-06:00)","SYS",""
"498","Slot 1","Raising","Warning","10-6 BER threshold exceeded","Tue 26-May-2015  05:36:36.1 (GMT-06:00)","SYS",""
"499","Slot 1","Clearing","Cleared","10-6 BER threshold exceeded","Tue 26-May-2015  05:36:48.1 (GMT-06:00)","SYS",""
"500","Slot 3","Raising","Warning","Port 3 Ethernet down","Tue 26-May-2015  15:54:43.2 (GMT-06:00)","SYS",""
"501","Slot 3","Raising","Warning","Port 1 Ethernet down","Tue 26-May-2015  15:54:43.3 (GMT-06:00)","SYS",""
"502","Slot 3","Raising","Warning","Port 2 Ethernet down","Tue 26-May-2015  15:54:43.3 (GMT-06:00)","SYS",""
"503","Slot 3","Clearing","Cleared","Port 3 Ethernet down","Tue 26-May-2015  15:55:08.2 (GMT-06:00)","SYS",""
"504","Slot 3","Clearing","Cleared","Port 1 Ethernet down","Tue 26-May-2015  15:55:08.2 (GMT-06:00)","SYS",""
